product_id,stock_on_hand
WKS2233-BSK-L,2
WKS2233-BSK-M,4
WKS2233-BSK-S,4
WKS2233-BSK-XS,2
WKS2234-OCW-L,2
WKS2234-OCW-M,4
WKS2234-OCW-S,5
WKS2234-OCW-XL,1
WKS2234-OCW-XS,3
WKS2235-NVY-M,3
WKS2235-NVY-S,4
WKS2235-WSW-L,2
WKS2235-WSW-M,3
WKS2235-WSW-S,4
WKS2235-WSW-XS,2
WKS2236-WHT-L,1
WKS2236-WHT-M,3
WKS2236-WHT-S,4
WKS2236-WHT-XS,2
WOS2207-FTG-L,2
WOS2207-FTG-M,4
WOS2207-FTG-S,4
WOS2207-FTG-XS,2
WTS2201-IGF-L,1
WTS2201-IGF-M,3
WTS2201-IGF-S,4
UAC0033-GRY-L,4
UAC0033-GRY-M,3
UAC0033-WHT-L,4
UAC0033-WHT-M,3
UAC0035-LGR-L,4
UAC0035-LGR-M,1
UAC0036-BLK-L,4
UAC0036-WHT-L,4
UAC0113-DMG-OS,4
UAC0115-CCG-OS,4
UAC0115-CVB-OS,4
UAC0115-HUR-OS,4
UAC0117-BRT-OS,4
UAC0117-MBM-OS,4
UAC0118-BRB-OS,3
UAC0210-BRT-OS,4
UAC0211-GGR-OS,4
UAC0212-CRY-OS,4
UAC0212-GVB-OS,3
UAC2200-SMN-OS,16
WAC2010-AGE-OS,4
WAC2010-BLI-OS,1
WBC0008-FTW-25,1
WBC0008-FTW-26,2
WBC0008-FTW-27,2
WTS2209-ECC-L,1
WTS2209-ECC-M,3
WTS2209-ECC-S,4
WTS2209-ECC-XS,2
WTS2213-CRG-M,2
WTS2213-CRG-S,4
WTS2219-WHT-L,1
WTS2219-WHT-M,2
WTS2219-WHT-S,3
WTS2222-WBK-L,2
WTS2222-WBK-M,3
WTS2222-WBK-S,4
WTS2222-WBK-XS,2
WTS2222-WSW-L,2
WTS2222-WSW-M,3
WTS2222-WSW-S,4
WTS2222-WSW-XS,2
WWS2201-PIR-L,2
WWS2201-PIR-M,4
WWS2201-PIR-S,4
WYS2207-MLM-L,1
WYS2207-MLM-M,3
WYS2207-MLM-S,4
WYS2207-MLM-XS,2
WYS2216-OPW-L,1
WYS2216-OPW-M,3
WYS2216-OPW-S,4
WYS2216-OPW-XS,2
WYS2223-VTV-L,2
WYS2223-VTV-M,4
WYS2223-VTV-S,5
WYS2223-VTV-XL,1
WYS2223-VTV-XS,3
WYS2227-MAE-L,1
WYS2227-MAE-S,4
WYS2227-MAE-XS,2
WAS2202-TCR-OS,3
WAS2203-BLK-OS,3
WAS2203-PNK-OS,3
WAS2204-BLU-OS,3
WAS2204-PNK-OS,3
WBC0008-FTW-28,3
WBC0008-FTW-29,2
WBC0008-FTW-30,1
WBC0036-EGL-25,1
WBC0036-EGL-26,2
WBC0036-EGL-28,2
WBC0036-EGL-30,1
WBC0042-VWH-25,1
WBC0042-VWH-26,2
WBC0042-VWH-27,2
WBC0042-VWH-28,1
WBC0042-VWH-29,2
WBC0042-VWH-30,1
